Manipulation,Percentage,Accuracy_GPT%-Base,Accuracy_Gemini%-Base,Accuracy_Δ,Completeness_GPT%-Base,Completeness_Gemini%-Base,Completeness_Δ,KCC_GPT%-Base,KCC_Gemini%-Base,KCC_Δ,Conciseness_GPT%-Base,Conciseness_Gemini%-Base,Conciseness_Δ
complex_synonyms,50,-0.025309561161402927,-0.026628344346900645,0.0013187831854977183,-0.015000000000000013,-0.024499999999999855,0.009499999999999842,-0.04249999999999998,-0.03799999999999992,-0.0045000000000000595,-0.03300000000000014,-0.12149999999999994,0.0884999999999998
complex_synonyms,100,-0.03866342530090683,-0.02969091244036215,-0.008972512860544679,-0.02300000000000002,-0.013499999999999845,-0.009500000000000175,-0.07850000000000001,-0.04699999999999993,-0.031500000000000083,-0.04500000000000015,-0.04599999999999982,0.0009999999999996678
definition_insertion,50,-0.01926070889956033,-0.0053491690751483745,-0.013911539824411956,-0.0015000000000000568,-0.01749999999999985,0.015999999999999792,-0.0034999999999999476,-0.009000000000000008,0.00550000000000006,0.013499999999999845,-0.09399999999999986,0.1074999999999997
definition_insertion,100,-0.028211752422807934,-0.011757494861603046,-0.016454257561204888,-0.0010000000000000009,-0.013499999999999845,0.012499999999999845,-0.00649999999999995,-0.013999999999999901,0.007499999999999951,0.03400000000000003,-0.07050000000000001,0.10450000000000004
dilute,50,-0.03639070757207463,-0.017005335344564387,-0.019385372227510245,-0.0050000000000000044,0.0020000000000000018,-0.007000000000000006,-0.0034999999999999476,0.013000000000000012,-0.01649999999999996,0.007500000000000062,0.045500000000000096,-0.038000000000000034
dilute,100,-0.059254295148999825,-0.026750522090845053,-0.03250377305815477,-0.01200000000000001,0.0025000000000000577,-0.014500000000000068,-0.014499999999999957,0.008000000000000007,-0.022499999999999964,0.030999999999999917,0.09350000000000014,-0.06250000000000022
double_negation,50,-4.2752840759163746e-05,0.022558055545456313,-0.022600808386215476,-0.02100000000000002,-0.013499999999999845,-0.007500000000000173,-0.04249999999999998,0.05300000000000005,-0.09550000000000003,-0.08600000000000008,-0.09749999999999992,0.011499999999999844
double_negation,100,-0.005290899778169211,0.024446817664446563,-0.029737717442615774,-0.03799999999999992,-0.036499999999999866,-0.0015000000000000568,-0.0655,-0.009000000000000008,-0.056499999999999995,-0.16600000000000015,-0.10349999999999993,-0.06250000000000022
key_typo,50,-0.015152794261085956,-0.0035498771205295654,-0.01160291714055639,-0.01200000000000001,-0.027499999999999858,0.015499999999999847,-0.04249999999999998,-0.017999999999999905,-0.024500000000000077,-0.038000000000000034,-0.1519999999999999,0.11399999999999988
key_typo,100,-0.02757803011366078,-0.007501039898553885,-0.020076990215106894,-0.029999999999999916,-0.03349999999999986,0.0034999999999999476,-0.07850000000000001,-0.02399999999999991,-0.054500000000000104,-0.07600000000000007,-0.15149999999999997,0.0754999999999999
ran_typo,50,-0.013567242844731542,0.0044146566663174625,-0.017981899511049004,-0.028999999999999915,-0.04149999999999987,0.012499999999999956,-0.07850000000000001,-0.03399999999999992,-0.044500000000000095,-0.07400000000000007,-0.1984999999999999,0.12449999999999983
ran_typo,100,-0.034541368748736145,0.012953130560457993,-0.04749449930919414,-0.06999999999999995,-0.03749999999999987,-0.032500000000000084,-0.1925,-0.039999999999999925,-0.15250000000000008,-0.13450000000000006,-0.12149999999999994,-0.013000000000000123
remove,50,-0.014653974259751457,0.0025009773493078757,-0.017154951609059332,-0.026000000000000023,-0.009499999999999842,-0.01650000000000018,-0.09250000000000003,-0.016999999999999904,-0.07550000000000012,-0.07600000000000007,0.011500000000000066,-0.08750000000000013
remove,100,-0.035233859763326825,-0.0007095089029254265,-0.0345243508604014,-0.05899999999999994,-0.013499999999999845,-0.045500000000000096,-0.1925,-0.041999999999999926,-0.15050000000000008,-0.14650000000000007,0.009500000000000064,-0.15600000000000014
shuffle_words,50,-0.009001013713175077,-0.0051303680448877564,-0.0038706456682873203,-0.03299999999999992,-0.01949999999999985,-0.013500000000000068,-0.10450000000000004,-0.03799999999999992,-0.06650000000000011,-0.09400000000000008,-0.03499999999999992,-0.05900000000000016
shuffle_words,100,-0.042309908223119086,-0.04065448501329527,-0.0016554232098238142,-0.06799999999999995,-0.06349999999999989,-0.0045000000000000595,-0.1925,-0.11399999999999999,-0.07850000000000001,-0.12200000000000011,-0.08349999999999991,-0.0385000000000002
swap,50,-0.004577117396285857,-0.009094675469428548,0.004517558073142691,-0.0050000000000000044,-0.05449999999999988,0.04949999999999988,-0.014499999999999957,-0.029999999999999916,0.015499999999999958,-0.017000000000000126,-0.26149999999999984,0.24449999999999972
swap,100,-0.010083205690176511,-0.018413935916716473,0.008330730226539962,-0.014000000000000012,-0.05249999999999988,0.03849999999999987,-0.02749999999999997,-0.03799999999999992,0.010499999999999954,-0.03750000000000009,-0.24049999999999994,0.20299999999999985
verb_tense_errors,50,-0.00913646600290674,-0.011036561291913105,0.001900095289006365,0.0,-0.0034999999999998366,0.0034999999999998366,0.007500000000000062,0.0050000000000000044,0.0025000000000000577,0.004999999999999893,-0.014499999999999957,0.01949999999999985
verb_tense_errors,100,-0.018880953388591193,-0.022239185908923598,0.003358232520332405,0.0050000000000000044,-0.0024999999999998357,0.00749999999999984,0.007500000000000062,0.0050000000000000044,0.0025000000000000577,0.004999999999999893,-0.013499999999999845,0.01849999999999974
