,GR_key_typo,GR_ran_typo,GR_remove,GR_swap
acc_median_finalbelow0.6_50,3.3,2.43,1.82,3.17
acc_median_finalbelow0.6_100,4.98,5.36,2.7,5.03
comp_final_medianbelow0.6_50,15.97,17.53,13.55,18.99
comp_final_medianbelow0.6_100,17.14,18.63,14.75,18.97
key_concept_coveragebelow0.6_50,15.7,17.46,12.97,17.96
key_concept_coveragebelow0.6_100,16.72,18.78,15.24,17.69
Concisenessbelow0.5_50,4.52,5.09,2.64,6.09
Concisenessabove1.5_50,41.66,39.11,50.33,35.91
Concisenessbelow0.5_100,4.68,4.35,2.57,5.82
Concisenessabove1.5_100,42.18,43.9,50.36,36.94
Num_additionabove2_50,2.85,4.52,3.98,3.08
Num_additionabove2_100,3.95,8.69,7.98,2.65
Num_direct_modificationsabove2_50,2.32,1.59,0.65,0.75
Num_direct_modificationsabove2_100,4.09,4.53,1.57,3.97
acc_median_finalbelow0.4_50,0.41,0.83,0.2,0.19
acc_median_finalbelow0.4_100,1.38,2.83,0.49,0.64
comp_final_medianbelow0.4_50,2.8,2.99,2.07,3.81
comp_final_medianbelow0.4_100,3.4,3.48,2.42,2.94
key_concept_coveragebelow0.4_50,7.75,8.62,6.26,9.21
key_concept_coveragebelow0.4_100,8.99,10.36,7.77,9.21
Num_additionabove4_50,0.9,1.29,0.95,1.24
Num_additionabove4_100,1.32,2.57,2.06,0.75
Num_direct_modificationsabove4_50,0.87,1.1,0.24,0.17
Num_direct_modificationsabove4_100,1.94,3.62,0.6,0.91
