,GR_key_typo,GR_ran_typo,GR_remove,GR_swap,SYNT_shuffle_words,SYNT_verb_tense_errors,READ_complex_synonyms,READ_definition_insertion,READ_double_negation,INFDENS_dilute
acc_median_final_below_0.6_50,8.57,8.24,7.77,6.17,3.3,5.14,12.69,12.1,4.34,18.04
acc_median_final_below_0.6_100,14.68,14.41,13.6,10.73,5.59,8.24,19.98,18.33,7.43,27.18
comp_final_median_below_0.6_50,27.14,30.21,29.72,25.15,29.07,24.49,26.34,24.6,28.42,25.46
comp_final_median_below_0.6_100,30.53,39.76,37.0,27.56,37.58,24.48,27.73,24.39,32.27,25.99
key_concept_coverage_below_0.6_50,31.04,34.76,35.11,28.63,37.24,27.34,31.35,27.47,31.04,28.8
key_concept_coverage_below_0.6_100,35.53,49.72,48.45,30.53,48.75,26.8,35.11,27.28,34.97,29.02
Conciseness_below_0.5_50,8.24,8.23,8.96,8.23,8.82,7.91,8.6,8.19,8.61,6.73
Conciseness_above_1.5_50,50.86,49.5,49.3,51.8,48.58,52.57,51.01,52.8,49.03,52.8
Conciseness_below_0.5_100,8.84,9.05,9.95,8.9,10.68,7.87,8.58,8.23,10.59,6.5
Conciseness_above_1.5_100,49.25,46.99,46.64,50.84,47.57,52.9,50.6,53.39,45.96,53.48
Num_addition_above_2_50,6.56,8.82,7.73,5.6,6.49,6.5,6.61,5.6,5.35,5.8
Num_addition_above_2_100,7.83,10.84,9.85,5.64,8.67,5.91,6.23,5.67,5.18,6.06
Num_direct_modifications_above_2_50,2.98,2.92,1.92,1.18,0.0,0.79,6.7,9.1,0.03,14.34
Num_direct_modifications_above_2_100,7.75,5.76,4.27,4.52,0.0,2.93,12.36,16.34,0.26,24.16
acc_median_final_below_0.4_50,0.72,1.22,0.6,0.5,0.1,0.14,1.1,0.33,0.12,2.51
acc_median_final_below_0.4_100,2.18,3.26,1.78,1.31,0.08,0.24,2.8,1.47,0.29,5.96
comp_final_median_below_0.4_50,5.58,6.46,6.41,5.1,5.94,4.79,5.19,4.93,6.1,5.04
comp_final_median_below_0.4_100,7.13,10.08,8.99,6.08,7.8,4.61,5.68,4.81,7.73,5.41
key_concept_coverage_below_0.4_50,15.4,17.68,17.53,14.14,17.75,12.81,14.57,13.01,15.72,13.77
key_concept_coverage_below_0.4_100,19.03,28.33,26.48,16.01,24.39,12.51,17.4,12.92,19.36,14.16
Num_addition_above_4_50,1.66,2.39,2.19,1.52,2.15,1.89,1.87,1.74,1.56,1.59
Num_addition_above_4_100,2.23,3.49,2.93,1.55,2.87,1.7,1.77,1.62,1.45,1.7
Num_direct_modifications_above_4_50,0.58,1.15,0.4,0.12,0.0,0.04,1.69,2.79,0.0,6.64
Num_direct_modifications_above_4_100,2.81,3.15,1.46,1.27,0.0,0.44,5.04,8.37,0.0,13.42
