,READ_complex_synonyms,READ_definition_insertion,READ_double_negation
acc_median_final_below_0.6_50,9.62,9.03,1.27
acc_median_final_below_0.6_100,16.91,15.26,4.36
comp_final_median_below_0.6_50,2.9,1.16,4.98
comp_final_median_below_0.6_100,4.29,0.95,8.83
key_concept_coverage_below_0.6_50,3.61,-0.27,3.3
key_concept_coverage_below_0.6_100,7.37,-0.46,7.23
Conciseness_below_0.5_50,0.15,-0.26,0.17
Conciseness_above_1.5_50,-1.29,0.5,-3.28
Conciseness_below_0.5_100,0.14,-0.22,2.15
Conciseness_above_1.5_100,-1.7,1.09,-6.35
Num_addition_above_2_50,0.52,-0.49,-0.74
Num_addition_above_2_100,0.14,-0.42,-0.91
Num_direct_modifications_above_2_50,6.7,9.1,0.03
Num_direct_modifications_above_2_100,12.36,16.34,0.26
acc_median_final_below_0.4_50,1.0,0.23,0.01
acc_median_final_below_0.4_100,2.7,1.37,0.19
comp_final_median_below_0.4_50,0.38,0.12,1.29
comp_final_median_below_0.4_100,0.87,0.0,2.92
key_concept_coverage_below_0.4_50,1.42,-0.14,2.57
key_concept_coverage_below_0.4_100,4.25,-0.23,6.21
Num_addition_above_4_50,0.38,0.26,0.08
Num_addition_above_4_100,0.28,0.14,-0.04
Num_direct_modifications_above_4_50,1.69,2.79,0.0
Num_direct_modifications_above_4_100,5.04,8.37,0.0
